FID,OBJECTID,ESDCode,ESD,ESDName,NAME,DistrictNa,Labels,CODE,CCDDD,CC,DDD,County,AddressLin,AddressL_1,City,State,Zipcode,Administra,Phone,Email,UNSD,SDLEA,Region,OrgId,DistrictId,WEBSITE,SHAPE_Leng,DistrictCode,DistrictName,DistrictOrganizationId,FREQUENCY,SUM_All_Students,SUM_Female,SUM_Gender_X,SUM_Male,SUM_American_Indian__Alaskan_Native,SUM_Asian,SUM_Black__African_American,SUM_Hispanic__Latino_of_any_race_s_,SUM_Native_Hawaiian__Other_Pacific_Islander,SUM_Two_or_More_Races,SUM_White,SUM_English_Language_Learners,SUM_Foster_Care,SUM_Homeless,SUM_Low_Income,SUM_Migrant,SUM_Military_Parent,SUM_Mobile,SUM_Section_504,SUM_Students_with_Disabilities,SUM_Non_English_Language_Learners,SUM_Non_Foster_Care,SUM_Non_Homeless,SUM_Non_Low_Income,SUM_Non_Migrant,SUM_Non_Military_Parent,SUM_Non_Mobile,SUM_Non_Section_504,SUM_Students_without_Disabilities,SHAPE_Length,SHAPE_Area
63,63,17801,121,Puget Sound Educational Service District 121,DIERINGER,DIERINGER SCHOOL DISTRICT,Dieringer,27343,27343,27,343,Pierce,1320 178TH AVE E, ,LAKE TAPPS,Washington,98391-6411,Judy  Neumeier-Martinson,(253)862-2537,jmartinson@dieringer.wednet.edu,2130,2130,2,68,66,http://www.dieringer.wednet.edu/,139210.5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62469.532,357968154.8
64,64,11801,123,Educational Service District 123,DIXIE,DIXIE SCHOOL DISTRICT,Dixie,36101,36101,36,101,Walla Walla,PO BOX 40, ,DIXIE,Washington,99329-0040,Matt  Bona,(509)525-5339,mbona@dixiesd.org,2160,2160,4,69,67,http://www.dixiesd.org/,226316.6979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99495.51737,1858483139
65,65,32801,101,Educational Service District 101,EAST VALLEY (SPOKANE),EAST VALLEY SCHOOL DISTRICT (SPOKANE),East Valley,32361,32361,32,361,Spokane,3830 N Sullivan Rd,Bldg 1,SPOKANE,Washington,99216,Kelly  Shea,(509)924-1830,SheaK@evsd.org,2280,2280,5,70,68,http://www.evsd.org,284870.5524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129119.8307,2609170599
66,66,4801,171,North Central Educational Service District 171,EASTMONT,EASTMONT SCHOOL DISTRICT,Eastmont,9206,9206,9,206,Douglas,800 Eastmont Ave, ,EAST WENATCHEE,Washington,98802-4443,Garn  Christensen,(509)884-7169,christenseng@eastmont206.org,2310,2310,4,72,70,http://www.eastmont206.org/,314977.0683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141928.9277,3823974099
67,67,39801,105,Educational Service District 105,EASTON,EASTON SCHOOL DISTRICT,Easton,19028,19028,19,28,Kittitas,PO BOX 8, ,EASTON,Washington,98925-0008,Patrick  Dehuff,(509)656-2317,dehuffp@easton.wednet.edu,2340,2340,4,73,71,http://www.easton.wednet.edu,582925.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262275.5229,8240449784
68,68,17801,121,Puget Sound Educational Service District 121,EATONVILLE,EATONVILLE SCHOOL DISTRICT,Eatonville,27404,27404,27,404,Pierce,PO BOX 698, ,EATONVILLE,Washington,98328-0698,Krestin  Bahr,(360)879-1000,k.bahr@eatonville.wednet.edu,2370,2370,2,74,72,http://www.eatonville.wednet.edu/,772363.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344012.5607,12556467372
69,69,29801,189,Northwest Educational Service District 189,EDMONDS,EDMONDS SCHOOL DISTRICT,Edmonds,31015,31015,31,15,Snohomish,20420 68TH AVE W, ,LYNNWOOD,Washington,98036-7400,Kris  McDuffy,(425)431-7001,McDuffyK278@edmonds.wednet.edu,2400,2400,3,75,73,http://www.edmonds.wednet.edu/,167630.5046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76025.81618,1474083186
70,70,39801,105,Educational Service District 105,ELLENSBURG,ELLENSBURG SCHOOL DISTRICT,Ellensburg,19401,19401,19,401,Kittitas,1300 E 3RD AVE, ,ELLENSBURG,Washington,98926-3576,Jinger  Haberer,(509)925-8010,jinger.haberer@esd401.org,2460,2460,4,76,74,https://www.esd401.org/,1106396.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494444.4074,15559660514
71,71,34801,113,Capital Region ESD 113,ELMA,ELMA SCHOOL DISTRICT,Elma,14068,14068,14,68,Grays Harbor,1235 MONTE ELMA RD, ,ELMA,Washington,98541-9038,Kevin  Acuff,(360)482-2822,kacuff@eagles.edu,2490,2490,1,77,75,https://www.eagles.edu/,522517.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233409.8462,4887484217
72,72,32801,101,Educational Service District 101,ENDICOTT,ENDICOTT SCHOOL DISTRICT,Endicott,38308,38308,38,308,Whitman,308 SCHOOL DR, ,ENDICOTT,Washington,99125,Suzanne  Schmick,(509)657-3523,sschmick@sje.wednet.edu,2520,2520,5,78,76,http://www.sje.wednet.edu,578920.1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258459.2754,6193026848
73,73,4801,171,North Central Educational Service District 171,ENTIAT,ENTIAT SCHOOL DISTRICT,Entiat,4127,4127,4,127,Chelan,2650 ENTIAT WAY, ,ENTIAT,Washington,98822-9710,Miles  Caples,(509)784-1800,mcaples@entiatschools.org,2550,2550,4,79,77,http://www.entiatschools.org,750457.5407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340861.1409,12346131275
74,74,4801,171,North Central Educational Service District 171,EPHRATA,EPHRATA SCHOOL DISTRICT,Ephrata,13165,13165,13,165,Grant,111 4TH AVE NW, ,EPHRATA,Washington,98823-1690,Daniel E Martell,(509)754-2474,dmartell@ephrataschools.org,2610,2610,4,81,79,http://ephrataschools.org,644182.0677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289611.3786,9142324774
75,75,34801,113,Capital Region ESD 113,EVALINE,EVALINE SCHOOL DISTRICT,Evaline,21036,21036,21,36,Lewis,111 SCHOOLHOUSE RD, ,WINLOCK,Washington,98596-9718,Kyle  MacDonald,(360)785-3460,kmacdonald@evalinesd.k12.wa.us,2640,2640,1,82,80,http://www.evalinesd.k12.wa.us/,71928.37716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31869.34379,218353268.3
76,76,29801,189,Northwest Educational Service District 189,EVERETT,EVERETT SCHOOL DISTRICT,Everett,31002,31002,31,2,Snohomish,PO BOX 2098, ,EVERETT,Washington,98213-2999,Gary  Cohn,(425)385-4019,gcohn@everettsd.org,2670,2670,3,83,81,http://www.everett.k12.wa.us/,286454.7369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130267.6952,1443745892
77,77,6801,112,Educational Service District 112,EVERGREEN (CLARK),EVERGREEN SCHOOL DISTRICT (CLARK),Evergreen,6114,6114,6,114,Clark,PO BOX 8910, ,VANCOUVER,Washington,98668-8910,Michael  Merlino,(360)604-4000,Michael.Merlino@evergreenps.org,2700,2700,1,84,82,http://www.evergreenps.org,223918.9065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97608.99582,1330259752
78,78,32801,101,Educational Service District 101,EVERGREEN (STEVENS),EVERGREEN SCHOOL DISTRICT (STEVENS),Evergreen,33205,33205,33,205,Stevens,3341 ADDY GIFFORD RD, ,GIFFORD,Washington,99131-9701,Bill  Glidewell,(509)722-6084,bglidewell@svalley.k12.wa.us,2730,2730,5,85,83,http://www.evergreen.k12.wa.us/,193143.7749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88496.07058,1490611894
79,79,17801,121,Puget Sound Educational Service District 121,FEDERAL WAY,FEDERAL WAY SCHOOL DISTRICT,Federal Way,17210,17210,17,210,King,33330 8th AVE S, ,FEDERAL WAY,Washington,98003-5433,Tammy  Campbell,(253)945-2000,tcampbel@fwps.org,2820,2820,2,86,84,http://www.fwps.org,177573.5954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79824.36872,1289612601
80,80,29801,189,Northwest Educational Service District 189,FERNDALE,FERNDALE SCHOOL DISTRICT,Ferndale,37502,37502,37,502,Whatcom,PO Box 698, ,FERNDALE,Washington,98248-9317,Linda  Quinn,(360)383-9207,linda.quinn@ferndalesd.org,2850,2850,3,87,85,https://www.ferndalesd.org/,453400.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209659.5445,5592208740
81,81,17801,121,Puget Sound Educational Service District 121,FIFE,FIFE SCHOOL DISTRICT,Fife,27417,27417,27,417,Pierce,5802 20TH ST E, ,TACOMA,Washington,98424-2000,Kevin  Alfano,(253)517-1000,kalfano@fifeschools.com,2880,2880,2,88,86,http://district.fifeschools.com/,123341.2434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55355.89284,335550472.1
82,82,11801,123,Educational Service District 123,FINLEY,FINLEY SCHOOL DISTRICT,Finley,3053,3053,3,53,Benton,224606 E GAME FARM RD, ,KENNEWICK,Washington,99337-8623,Lance  Hahn,(509)586-3217,Lhahn@finleysd.org,2910,2910,4,89,87,http://www.finleysd.org/,310217.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136263.2968,2970449663
83,83,17801,121,Puget Sound Educational Service District 121,FRANKLIN PIERCE,FRANKLIN PIERCE SCHOOL DISTRICT,Franklin Pierce,27402,27402,27,402,Pierce,315 129TH ST S, ,TACOMA,Washington,98444-5099,Lance  Goodpaster,(253)208-3010,lgoodpaster@fpschools.org,2940,2940,2,90,88,http://fpschools.org,135024.0563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60498.4565,581479571.7
84,84,32801,101,Educational Service District 101,FREEMAN,FREEMAN SCHOOL DISTRICT,Freeman,32358,32358,32,358,Spokane,15001 S JACKSON RD, ,ROCKFORD,Washington,99030-9755,Randy L. Russell,(509)291-3695,rrussell@freemansd.org,2970,2970,5,91,89,http://www.freemansd.org/,360678.8022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162686.9226,4019894978
85,85,32801,101,Educational Service District 101,GARFIELD,GARFIELD SCHOOL DISTRICT,Garfield,38302,38302,38,302,Whitman,PO BOX 398, ,GARFIELD,Washington,99130-0398,Zane   Wells,(509)635-1331,zwells@garpal.wednet.edu,3000,3000,5,92,90,http://www.garpal.wednet.edu,261974.2465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117088.8155,2043773094
86,86,6801,112,Educational Service District 112,GLENWOOD,GLENWOOD SCHOOL DISTRICT,Glenwood,20401,20401,20,401,Klickitat,PO BOX 12, ,GLENWOOD,Washington,98619-0012,Heather  Gimlin,(509)364-3438,heather.gimlin@glenwoodsd.org,3030,3030,1,93,91,http://www.glenwood.k12.wa.us/,333678.0634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146262.3333,4016679868
87,87,39801,105,Educational Service District 105,GOLDENDALE,GOLDENDALE SCHOOL DISTRICT,Goldendale,20404,20404,20,404,Klickitat,604 E. BROOKS ST, ,GOLDENDALE,Washington,98620,Ian  Grabenhorst,(509)773-5177,ian.grabenhorst@gsd404.org,3090,3090,4,94,92,http://goldendaleschools.org/,812203.9323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355417.115,16601831351
88,88,4801,171,North Central Educational Service District 171,GRAND COULEE DAM,GRAND COULEE DAM SCHOOL DISTRICT,Grand Coulee Dam,13301,13301,13,301,Grant,110 Stevens Ave., ,COULEE DAM,Washington,99116-1503,Paul  Turner,(509)633-2143,pturner@gcdsd.org,3130,3130,4,95,93,https://www.gcdsd.org/,524060.8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238462.0264,8846994699
89,89,39801,105,Educational Service District 105,GRANDVIEW,GRANDVIEW SCHOOL DISTRICT,Grandview,39200,39200,39,200,Yakima,913 W 2ND ST, ,GRANDVIEW,Washington,98930-1202,Henry M Strom,(509)882-8514,hmstrom@gsd200.org,3150,3150,4,96,94,https://www.gsd200.org/Page/1,186951.5745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82403.39375,1115988108
90,90,39801,105,Educational Service District 105,GRANGER,GRANGER SCHOOL DISTRICT,Granger,39204,39204,39,204,Yakima,701 E AVE, ,GRANGER,Washington,98932-0400,Brian  Hart,(509)854-1515,hartb@gsd.wednet.edu,3180,3180,4,97,95,http://www.gsd.wednet.edu/,492559.7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217226.0179,6638727228
91,91,29801,189,Northwest Educational Service District 189,GRANITE FALLS,GRANITE FALLS SCHOOL DISTRICT,Granite Falls,31332,31332,31,332,Snohomish,205 North Alder Avenue, ,GRANITE FALLS,Washington,98252-8908,Linda  Hall,(360)691-7717,lhall@gfalls.wednet.edu,3210,3210,3,98,96,http://www.gfalls.wednet.edu,845879.3563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385428.5273,13055622104
92,92,34801,113,Capital Region ESD 113,GRAPEVIEW,GRAPEVIEW SCHOOL DISTRICT,Grapeview,23054,23054,23,54,Mason,822 E MASON BENSON RD, ,GRAPEVIEW,Washington,98546-9514,Ellen   Perconti,(360)426-4921,eperconti@gsd54.org,3240,3240,1,99,97,http://www.gsd54.org/,161839.3286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72753.97331,893960719.7
93,93,32801,101,Educational Service District 101,GREAT NORTHERN,GREAT NORTHERN SCHOOL DISTRICT,Great Northern,32312,32312,32,312,Spokane,3115 N SPOTTED RD, ,SPOKANE,Washington,99224-8921,Glenn K Frizzell,(509)747-7714,gfrizz@aol.com,3270,3270,5,100,98,http://www.gnsd.k12.wa.us/,112072.2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50725.28231,506158174.5
94,94,6801,112,Educational Service District 112,GREEN MOUNTAIN,GREEN MOUNTAIN SCHOOL DISTRICT,Green Mountain,6103,6103,6,103,Clark,13105 NE GRINNELL RD, ,WOODLAND,Washington,98674-3808,Tyson J Vogeler,(360)225-7366,tyson.vogeler@greenmountainschool.us,3300,3300,1,101,99,http://www.greenmountainschool.us/,168630.7191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73892.82583,714238078.1
95,95,34801,113,Capital Region ESD 113,GRIFFIN,GRIFFIN SCHOOL DISTRICT,Griffin,34324,34324,34,324,Thurston,6530 33RD AVE NW, ,OLYMPIA,Washington,98502-9599,Greg  Woods,(360)866-5903,gwoods@griffinschool.us,3330,3330,1,102,100,https://www.griffinschool.us,236114.2459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105678.0123,1171294949
96,96,32801,101,Educational Service District 101,HARRINGTON,HARRINGTON SCHOOL DISTRICT,Harrington,22204,22204,22,204,Lincoln,PO Box 204, ,HARRINGTON,Washington,99134-0248,Wayne  Massie,(509)253-4331,wmassie@harringtonsd.org,3360,3360,5,103,101,https://www.harringtonsd.org/,572093.4064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257688.6893,9063396182
97,97,4801,171,North Central Educational Service District 171,COULEE-HARTLINE,COULEE-HARTLINE SCHOOL DISTRICT,Coulee-Hartline,13151,13151,13,151,Grant,PO BOX 428, ,COULEE CITY,Washington,99115-0428,James  Evans,(509)632-5231,kschafer@achsd.org,3440,3440,4,57,55,http://www.achsd.org/,865596.6235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391594.3971,16922036854
98,98,39801,105,Educational Service District 105,HIGHLAND,HIGHLAND SCHOOL DISTRICT,Highland,39203,39203,39,203,Yakima,PO BOX 38, ,COWICHE,Washington,98923-0038,Mark  Anderson,(509)678-8635,manderson@highland.wednet.edu,3510,3510,4,104,102,http://www.highland.wednet.edu,341605.7835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151606.0781,3100377012
99,99,17801,121,Puget Sound Educational Service District 121,HIGHLINE,HIGHLINE SCHOOL DISTRICT,Highline,17401,17401,17,401,King,15675 AMBAUM BLVD SW, ,BURIEN,Washington,98166-0100,Susan  Enfield,(206)631-3000,Susan.Enfield@highlineschools.org,3540,3540,2,105,103,http://www.hsd401.org,168339.9789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75870.79867,1220977338
100,100,6801,112,Educational Service District 112,HOCKINSON,HOCKINSON SCHOOL DISTRICT,Hockinson,6098,6098,6,98,Clark,17912 NE 159TH ST, ,BRUSH PRAIRIE,Washington,98606-9765, , , ,3570,3570,1,106,104,http://www.hocksd.org/,213045.9206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92967.26592,1305535962
101,101,34801,113,Capital Region ESD 113,HOOD CANAL,HOOD CANAL SCHOOL DISTRICT,Hood Canal,23404,23404,23,404,Mason,111 N STATE ROUTE 106, ,SHELTON,Washington,98584-9703,Shawn  Batstone,(360)877-5463,sbatstone@hoodcanalschool.org,3600,3600,1,107,105,http://www.hoodcanal.wednet.edu/,576856.7473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259840.9674,12912265051
102,102,34801,113,Capital Region ESD 113,HOQUIAM,HOQUIAM SCHOOL DISTRICT,Hoquiam,14028,14028,14,28,Grays Harbor,325 W. Chenault Avenue, ,HOQUIAM,Washington,98550-2419,Mike  Villarreal,(360)538-8200,mvillarreal@hoquiam.net,3660,3660,1,108,106,http://www.hoquiam.net,339853.1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152109.5738,5588718649
103,103,29801,189,Northwest Educational Service District 189,INDEX,INDEX SCHOOL DISTRICT,Index,31063,31063,31,63,Snohomish,PO BOX 237, ,INDEX,Washington,98256-0237,Bradley T Jernberg,(360)793-1330,bjernberg@index.k12.wa.us,3720,3720,3,110,108,http://www.index.k12.wa.us/,312824.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141810.2322,3612408378
104,104,17801,121,Puget Sound Educational Service District 121,ISSAQUAH,ISSAQUAH SCHOOL DISTRICT,Issaquah,17411,17411,17,411,King,565 NW HOLLY ST, ,ISSAQUAH,Washington,98027-2899,Ronald Dion Thiele,(425)837-7002,ThieleR@issaquah.wednet.edu,3750,3750,2,111,109,http://www.issaquah.wednet.edu/,300680.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135630.2838,2959822790
105,105,11801,123,Educational Service District 123,KAHLOTUS,KAHLOTUS SCHOOL DISTRICT,Kahlotus,11056,11056,11,56,Franklin,PO BOX 69, ,KAHLOTUS,Washington,99335-0069,Mark F. Bitzer,(509)282-3338 Ext.101,markfbitzer@kahlotussd.org,3780,3780,4,112,110,http://www.kahlotussd.org/,530946.3908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235532.3773,6766981982
106,106,6801,112,Educational Service District 112,KALAMA,KALAMA SCHOOL DISTRICT,Kalama,8402,8402,8,402,Cowlitz,548 CHINA GARDEN RD, ,KALAMA,Washington,98625-9764,Eric Steven Nerison,(360)673-5282,eric.nerison@kalama.k12.wa.us,3810,3810,1,113,111,https://www.kalamaschools.org/,526651.9481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231400.2968,5999900164
107,107,32801,101,Educational Service District 101,KELLER,KELLER SCHOOL DISTRICT,Keller,10003,10003,10,3,Ferry,PO BOX 367, ,KELLER,Washington,99140-0367,Steve  Gaub,(509)634-4325,sgaub@keller.k12.wa.us,3870,3870,5,114,112,http://www.keller.k12.wa.us/,587697.7478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268399.0317,16588344422
108,108,11801,123,Educational Service District 123,KENNEWICK,KENNEWICK SCHOOL DISTRICT,Kennewick,3017,3017,3,17,Benton,1000 W. 4th Avenue, ,KENNEWICK,Washington,99336-5601,Dave  Bond,(509)222-5020,dave.bond@ksd.org,3930,3930,4,116,114,http://www.ksd.org/,475333.0766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208858.4317,8337212033
109,109,17801,121,Puget Sound Educational Service District 121,KENT,KENT SCHOOL DISTRICT,Kent,17415,17415,17,415,King,12033 SE 256TH ST, ,KENT,Washington,98031-6643,Calvin J Watts,(253)373-7701,Calvin.Watts@kent.k12.wa.us,3960,3960,2,117,115,http://www.kent.k12.wa.us,268037.2038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120610.4249,1922458287
110,110,32801,101,Educational Service District 101,KETTLE FALLS,KETTLE FALLS SCHOOL DISTRICT,Kettle Falls,33212,33212,33,212,Stevens,PO BOX 458, ,KETTLE FALLS,Washington,99141-0458,Thaynan  Knowlton,(509)738-6625 Ext.599,tknowlton@kfschools.org,3990,3990,5,118,116,https://www.kfschools.org/,686990.0237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316470.2341,11840420617
111,111,11801,123,Educational Service District 123,KIONA-BENTON CITY,KIONA-BENTON CITY SCHOOL DISTRICT,Kiona-Benton City,3052,3052,3,52,Benton,1105 DALE AVE, ,BENTON CITY,Washington,99320-9704,Pete  Peterson,(509)588-2000,pete.peterson@kibesd.org,4020,4020,4,119,117,http://www.kibesd.org/,435174.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192024.8214,3696409347
112,112,39801,105,Educational Service District 105,KITTITAS,KITTITAS SCHOOL DISTRICT,Kittitas,19403,19403,19,403,Kittitas,PO BOX 599, ,KITTITAS,Washington,98934-0599,Rich  Stewart,(855)380-8844,rich_stewart@ksd403.org,4050,4050,4,120,118,https://www.ksd403.org/,679062.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303406.163,16944487643
113,113,6801,112,Educational Service District 112,KLICKITAT,KLICKITAT SCHOOL DISTRICT,Klickitat,20402,20402,20,402,Klickitat,PO BOX 37, ,KLICKITAT,Washington,98628-0037,Kevin S. Davis,(509)369-4145,kevin.davis@klickitatsd.org,4080,4080,1,121,119,https://www.klickitat.wednet.edu/,206881.4809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90513.01469,1172582863
114,114,29801,189,Northwest Educational Service District 189,LA CONNER,LA CONNER SCHOOL DISTRICT,La Conner,29311,29311,29,311,Skagit,PO BOX 2103, ,LA CONNER,Washington,98257-2103,Whitney  Meissner,(360)466-3171,wmeissner@lc.k12.wa.us,4110,4110,3,123,121,http://www.lcsd.wednet.edu,170689.1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78309.03253,1352492961
115,115,32801,101,Educational Service District 101,LACROSSE,LACROSSE SCHOOL DISTRICT,LaCrosse,38126,38126,38,126,Whitman,111 Hill Avenue, ,LACROSSE,Washington,99143,Doug  Curtis,(509)549-3591,dcurtis@lacrossesd.k12.wa.us,4150,4150,5,124,122,http://www.lacrossesd.k12.wa.us/,664372.4671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295480.6766,11629617949
116,116,6801,112,Educational Service District 112,LA CENTER,LA CENTER SCHOOL DISTRICT,La Center,6101,6101,6,101,Clark,PO BOX 1840, ,LA CENTER,Washington,98629-5507,David  Holmes,(360)263-2131,dave.holmes@lacenterschools.org,4170,4170,1,122,120,http://www.lacenterschools.org/,202971.9727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88858.67787,1079930059
117,117,29801,189,Northwest Educational Service District 189,LAKE STEVENS,LAKE STEVENS SCHOOL DISTRICT,Lake Stevens,31004,31004,31,4,Snohomish,12309 22ND ST NE, ,LAKE STEVENS,Washington,98258,Amy Beth  Cook,(425)335-1500,amybeth_cook@lkstevens.wednet.edu,4200,4200,3,126,124,http://www.lkstevens.wednet.edu/,148164.2218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67479.14878,797217502.4
118,118,17801,121,Puget Sound Educational Service District 121,LAKE WASHINGTON,LAKE WASHINGTON SCHOOL DISTRICT,Lake Washington,17414,17414,17,414,King,PO BOX 97039, ,REDMOND,Washington,98073-9739,Jane  Stavem,(425)936-6600,jstavem@lwsd.org,4230,4230,2,127,125,https://www.lwsd.org/,289084.4885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130784.121,2161563486
119,119,29801,189,Northwest Educational Service District 189,LAKEWOOD,LAKEWOOD SCHOOL DISTRICT,Lakewood,31306,31306,31,306,Snohomish,PO BOX 220, ,NORTH LAKEWOOD,Washington,98259-0220,Michael  Mack,(360)652-4500,mmack@lwsd.wednet.edu,4260,4260,3,128,126,http://www.lwsd.wednet.edu/,127698.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58297.10007,626372384.5
120,120,32801,101,Educational Service District 101,LAMONT,LAMONT SCHOOL DISTRICT,Lamont,38264,38264,38,264,Whitman,602 MAIN ST, ,LAMONT,Washington,99017-8769,Todd  Spear,(509)257-2463,tspear@lamont.wednet.edu,4290,4290,5,129,127,http://spraguelamont.com/,351856.6903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157657.9902,3991121956
121,121,32801,101,Educational Service District 101,LIBERTY,LIBERTY SCHOOL DISTRICT,Liberty,32362,32362,32,362,Spokane,29818 S NORTH PINE CREEK RD, ,SPANGLE,Washington,99031-9797,Kyle  Rydell,(509)624-4415,krydell@libertysd.us,4380,4380,5,130,128,http://www.libertysd.us/,570571.5192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256898.2404,7677371019
122,122,32801,101,Educational Service District 101,LIND,LIND SCHOOL DISTRICT,Lind,1158,1158,1,158,Adams,PO BOX 340, ,LIND,Washington,99341-0340,Donald  Vanderholm,(509)677-3481,dvanderholm@lrschools.org,4410,4410,5,131,129,https://www.lrschools.org/,696066.1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310625.6406,13877321104
123,123,6801,112,Educational Service District 112,LONGVIEW,LONGVIEW SCHOOL DISTRICT,Longview,8122,8122,8,122,Cowlitz,2715 LILAC ST, ,LONGVIEW,Washington,98632-3596,Daniel Roy Zorn,(360)575-7016,dzorn@longview.k12.wa.us,4470,4470,1,132,130,http://www.longview.k12.wa.us,353555.3729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155785.2156,3774269836
124,124,32801,101,Educational Service District 101,LOON LAKE,LOON LAKE SCHOOL DISTRICT,Loon Lake,33183,33183,33,183,Stevens,4001 MAPLE ST, ,LOON LAKE,Washington,99148-9761,Bradley  Van Dyne,(509)233-2212,bvandyne@loonlakeschool.org,4500,4500,5,133,131,http://www.loonlakeschool.org/,278872.3053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127204.8211,1847182961
125,125,29801,189,Northwest Educational Service District 189,LOPEZ,LOPEZ SCHOOL DISTRICT,Lopez Is.,28144,28144,28,144,San Juan,86 SCHOOL RD, ,LOPEZ ISLAND,Washington,98261-8000,Brian   Auckland,(360)468-2202,bauckland@lopez.k12.wa.us,4530,4530,3,134,132,http://www.lopezislandschool.org/,238772.8183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109689.5439,3268671626
126,126,17801,121,Puget Sound Educational Service District 121,RIVERVIEW,RIVERVIEW SCHOOL DISTRICT,Riverview,17407,17407,17,407,King,PO Box 519, ,DUVALL,Washington,98019,Anthony Lloyd Smith,(425)844-4504,smitha@rsd407.org,4560,4560,2,222,220,http://www.riverview.wednet.edu/,377087.0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170641.129,4984139922
