District Name,Question,Response,Week_End
East Valley School District (Yakima),Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Eastmont School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Eatonville School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Edmonds School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Ellensburg School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Elma School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Endicott School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Entiat School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Enumclaw School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Ephrata School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Evaline School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Everett School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Evergreen School District (Clark),Are you directly providing or funding child care for your community? ,Yes,11-Apr
Federal Way School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Ferndale School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Fife School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Finley School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Franklin Pierce School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Freeman School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Garfield School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Glenwood School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Goldendale School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Grand Coulee Dam School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Grandview School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Grapeview School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Great Northern School District,Are you directly providing or funding child care for your community? ,No,11-Apr
GreenMountain School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Griffin School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Harrington School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Highland School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Highline School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Hood Canal School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Impact Public Schools,Are you directly providing or funding child care for your community? ,No,11-Apr
Inchelium School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Index School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Innovation Schools,Are you directly providing or funding child care for your community? ,No,11-Apr
Issaquah School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Kahlotus School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Kalama School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Keller School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Kelso School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Kennewick School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Kent School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Kettle Falls School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Kittitas School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
La Conner School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
LaCrosse School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Lake Chelan School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Lake Quinault School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Lake Stevens School District,Are you directly providing or funding child care for your community? ,No,11-Apr
LakeWashington Institute of Tech..,Are you directly providing or funding child care for your community? ,No,11-Apr
LakeWashington School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Lakewood School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Liberty School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Longview School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Loon Lake School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Lyle School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Lynden School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Mabton School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Mansfield School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Manson School District,Are you directly providing or funding child care for your community? ,No,11-Apr
MaryM Knight School District,Are you directly providing or funding child care for your community? ,No,11-Apr
MaryWalker School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Marysville School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
McCleary School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Mead School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Medical Lake School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Meridian School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Methow Valley School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Mill A School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Monroe School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Montesano School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Morton School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Mossyrock School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Mount Adams School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Mount Baker School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Mount Vernon School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Muckleshoot Indian Tribe,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Mukilteo School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Napavine School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Naselle-Grays River Valley School ..,Are you directly providing or funding child care for your community? ,No,11-Apr
Nespelem School District #14,Are you directly providing or funding child care for your community? ,No,11-Apr
Newport School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
NineMile Falls School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Nooksack Valley School District,Are you directly providing or funding child care for your community? ,No,11-Apr
North Beach School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
North Franklin School District,Are you directly providing or funding child care for your community? ,No,11-Apr
NorthMason School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
North River School District,Are you directly providing or funding child care for your community? ,No,11-Apr
North Thurston Public Schools,Are you directly providing or funding child care for your community? ,No,11-Apr
Oakesdale School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Oakville School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Ocean Beach School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Ocosta School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Odessa School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Okanogan School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Olympia School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Omak School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Onalaska School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Onion Creek School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Orcas Island School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Orchard Prairie School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Orient School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Orondo School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Orting School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Othello School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Palouse School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Pasco School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Pateros School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Paterson School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Pe Ell School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Peninsula School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Pioneer School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Pomeroy School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Port Townsend School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
PRIDE Prep Charter School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Prosser School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Pullman School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Puyallup School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Queets-Clearwater School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Quilcene School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Quileute Tribal School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Quincy School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Rainier Valley Leadership Academy,Are you directly providing or funding child care for your community? ,No,11-Apr
Raymond School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Renton School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Republic School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Richland School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Ridgefield School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Ritzville School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Riverside School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Rochester School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Roosevelt School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Royal School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
San Juan Island School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Satsop School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Seattle Public Schools,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Selah School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Selkirk School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Shelton School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Shoreline School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Skamania School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Skykomish School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Snohomish School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Snoqualmie Valley School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Soap Lake School District,Are you directly providing or funding child care for your community? ,No,11-Apr
South Bend School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
South Kitsap School District,Are you directly providing or funding child care for your community? ,No,11-Apr
SouthWhidbey School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Southside School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Spokane International Academy,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Spokane School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Sprague School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
St. John School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Stanwood-Camano School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Star School District No. 054,Are you directly providing or funding child care for your community? ,No,11-Apr
Steilacoom Hist. School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Summit Public School: Atlas,Are you directly providing or funding child care for your community? ,No,11-Apr
Summit Public School: Olympus,Are you directly providing or funding child care for your community? ,No,11-Apr
Summit Public School: Sierra,Are you directly providing or funding child care for your community? ,No,11-Apr
Summit Valley School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Sumner School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Tacoma School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Taholah School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Tahoma School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Tekoa School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Tenino School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Thorp School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Tonasket School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Toppenish School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Toutle Lake School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Trout Lake School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Tukwila School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Tumwater School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Union Gap School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
University Place School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Valley School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Vancouver School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Vashon Island School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
WAHE LUT Indian School Agency,Are you directly providing or funding child care for your community? ,No,11-Apr
Wahkiakum School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Wahluke School District,Are you directly providing or funding child care for your community? ,No,11-Apr
WallaWalla Public Schools,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Warden School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Washougal School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Washtucna School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Waterville School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Wellpinit School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Wenatchee School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
West Valley School District (Spoka..,Are you directly providing or funding child care for your community? ,Yes,11-Apr
White River School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
White Salmon Valley School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Wilbur School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Willapa Valley School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Wilson Creek School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Wishkah Valley School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Wishram School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Woodland School District,Are you directly providing or funding child care for your community? ,No,11-Apr
Yelm School District,Are you directly providing or funding child care for your community? ,Yes,11-Apr
Zillah School District,Are you directly providing or funding child care for your community? ,Not yet,11-Apr
Aberdeen School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Adna School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Anacortes School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Arlington School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Asotin-Anatone School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Auburn School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Bainbridge Island School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Battle Ground School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Bellevue School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Bellingham School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Benge School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Bethel School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Bickleton School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Blaine School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Boistfort School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Bremerton School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Bridgeport School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Brinnon School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Burlington-Edison School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Camas School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Cape Flattery School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Carbonado School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Cascade School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
CASHMERE SCHOOL DISTRICT,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Castle Rock School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Centerville School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Central Kitsap School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Central Valley School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Chehalis School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Cheney School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Chewelah School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Chimacum School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Cle Elum-Roslyn School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Clover Park School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Colfax School District,Are you directly providing or funding child care for your community? ,No,18-Apr
College Place School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Colton School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Columbia (Stevens) School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Columbia (WallaWalla) School Dis..,Are you directly providing or funding child care for your community? ,No,18-Apr
Colville School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Concrete School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Conway School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Cosmopolis School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Coupeville School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Crescent School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Creston School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Curlew School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Cusick School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Darrington School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Davenport School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Dayton School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Deer Park School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Dieringer School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
East Valley School District (Spoka..,Are you directly providing or funding child care for your community? ,Yes,18-Apr
East Valley School District (Yakima),Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Eastmont School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Eatonville School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Edmonds School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Ellensburg School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Elma School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Endicott School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Entiat School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Enumclaw School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Ephrata School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Evaline School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Everett School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Evergreen School District (Clark),Are you directly providing or funding child care for your community? ,Yes,18-Apr
Evergreen School District (Stevens),Are you directly providing or funding child care for your community? ,No,18-Apr
Federal Way School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Ferndale School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Fife School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Finley School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Franklin Pierce School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Freeman School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Garfield School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Glenwood School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Goldendale School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Grand Coulee Dam School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Grandview School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Granger School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Granite Falls School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Grapeview School District,Are you directly providing or funding child care for your community? ,No,18-Apr
GreenMountain School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Griffin School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Harrington School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Highland School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Highline School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Hood Canal School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Hoquiam School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Impact Public Schools,Are you directly providing or funding child care for your community? ,No,18-Apr
Inchelium School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Index School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Innovation Schools,Are you directly providing or funding child care for your community? ,No,18-Apr
Issaquah School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Kahlotus School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Kalama School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Keller School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Kelso School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Kennewick School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Kent School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Kettle Falls School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Klickitat School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
La Center School District,Are you directly providing or funding child care for your community? ,No,18-Apr
La Conner School District,Are you directly providing or funding child care for your community? ,No,18-Apr
LaCrosse School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Lake Chelan School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Lake Quinault School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Lake Stevens School District,Are you directly providing or funding child care for your community? ,No,18-Apr
LakeWashington Institute of Tech..,Are you directly providing or funding child care for your community? ,No,18-Apr
LakeWashington School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Lakewood School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Lamont School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Liberty School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Lind School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Longview School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Loon Lake School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Lyle School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Mabton School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Mansfield School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Manson School District,Are you directly providing or funding child care for your community? ,No,18-Apr
MaryM Knight School District,Are you directly providing or funding child care for your community? ,No,18-Apr
MaryWalker School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Marysville School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Mead School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Medical Lake School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Mercer Island School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Meridian School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Methow Valley School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Mill A School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Monroe School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Montesano School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Morton School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Moses Lake School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Mossyrock School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Mount Adams School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Mount Baker School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Mount Vernon School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Muckleshoot Indian Tribe,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Mukilteo School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Naches Valley School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Napavine School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Naselle-Grays River Valley School ..,Are you directly providing or funding child care for your community? ,No,18-Apr
Newport School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
NineMile Falls School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Nooksack Valley School District,Are you directly providing or funding child care for your community? ,No,18-Apr
North Beach School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
North Franklin School District,Are you directly providing or funding child care for your community? ,No,18-Apr
NorthMason School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
North River School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
North Thurston Public Schools,Are you directly providing or funding child care for your community? ,No,18-Apr
Northport School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Northshore School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Oak Harbor School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Oakville School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Ocean Beach School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Ocosta School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Odessa School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Olympia School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Omak School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Onalaska School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Onion Creek School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Orcas Island School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Orient School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Orondo School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Oroville School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Othello School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Palisades School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Palouse School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Pateros School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Paterson School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Pe Ell School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Peninsula School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Pioneer School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Pomeroy School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Port Angeles School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Port Townsend School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
PRIDE Prep Charter School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Prosser School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Puyallup School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Queets-Clearwater School District,Are you directly providing or funding child care for your community? ,Not yet,18-Apr
Quilcene School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Quileute Tribal School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Quillayute Valley School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Quincy School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Rainier Prep Charter School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Rainier Valley Leadership Academy,Are you directly providing or funding child care for your community? ,No,18-Apr
Raymond School District,Are you directly providing or funding child care for your community? ,No,18-Apr
Reardan-Edwall School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Renton School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Republic School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Richland School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Ridgefield School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
Riverside School District,Are you directly providing or funding child care for your community? ,Yes,18-Apr
